i,j,w
21392267,3328228994,1.114
21392267,4658088539,110.469
21392273,1707790076,21.254
21392273,3972566713,7.734
21392273,1955520890,46.113
21392276,2293833763,41.849
21392276,2343269909,32.912
21392276,6606135979,57.415
21392276,4156336278,11.987
21392279,21686578,49.828
21392279,6606135979,13.178
21392279,3972566714,46.162
21523714,6465896909,5.54
21523714,1678283247,15.988
21523714,4726152844,8.689
21523718,1014649631,3.28
21523718,4726152850,60.744
21523718,1787108626,42.642
21523719,5573991659,2.387
21563463,1617596669,21.757
21563463,1617596626,22.380000000000003
21563463,1617596693,65.428
21563479,1707790096,7.133
21563479,21563508,42.798
21563481,9949142599,50.737
21563481,1707790074,30.843000000000004
21563489,21563481,9.003
21563489,21563507,41.948
21563503,21563504,24.56
21563503,1617596669,15.023
21563504,21563503,24.56
21563504,762080105,6.054
21563504,21563507,30.958000000000002
21563507,21563508,22.281
21563507,21563489,41.948
21563507,21563504,30.958000000000002
21563507,762080077,9.884
21563508,21563507,22.281
21563508,4530270906,19.875
21563788,5907366887,32.748
21563788,6828921212,8.572
21563788,6828921211,55.219
21565570,25504150,7.621
21565570,25504755,26.406000000000002
21565570,1777727962,16.961
21565570,3664398009,28.039
21578454,8785568223,3.503
21578454,10572786,76.139
21578456,21578457,35.174
21578456,25495589,40.405
21578456,8785568223,84.96000000000001
21578457,21578456,35.174
21583342,25496777,65.36
21583366,1419565097,2.741
21583366,4017328647,3.606
21583366,25378129,16.654999999999998
21685483,1163955034,27.669
21685484,25500246,30.088
21685484,4370333637,21.024
21685484,4076095791,21.421
21685485,4370333637,25.881
21685485,4370333637,35.67400000000001
21685485,1236791504,74.822
21685497,25496847,26.449
21686572,4462683090,4.56
21686572,21686574,24.042
21686572,1360122841,112.888
21686574,4462680070,4.608
21686574,9203541612,20.847
21686574,21686572,24.042
21686578,21392279,49.828
21693787,25500239,10.086
21693793,107681,39.385
21693793,8868824844,62.788000000000004
21693793,1163955128,119.74799999999999
21693793,21693795,57.108000000000004
21693795,18397096,39.021
21693795,8868824855,7.495
21693795,21693793,57.108000000000004
21990614,3515286913,3.702
21990614,1493676622,6.005
21990614,2496836303,36.697
21990620,28728187,36.444
21990620,3197333544,45.324
21990622,21990623,77.954
21990622,2496836262,46.309
21990622,4556931604,5.873
21990623,3629223994,100.18799999999999
21990623,806373565,81.459
21990624,1779589718,18.097
21990624,250327100,16.752
21990625,2003007012,10.326
21990625,1787108626,79.83000000000001
21990627,7151566952,40.133
21990627,475396924,8.009
21990627,3093897990,125.09100000000001
