"","V1","V2","weight","height","size1","size1mean","size1norm","lccrank"
"104","L3_69339","L4_55419",200,1200,21199,56982.2611940299,0.372028058483244,9
"105","L3_403375","L4_330360",200,1200,20552,56982.2611940299,0.360673647716761,9
"106","L3_365079","L4_300099",200,1200,20486,56982.2611940299,0.359515392522653,9
"107","L3_115740","L4_88786",200,1200,20119,56982.2611940299,0.353074791670568,9
"108","L3_146217","L4_115170",200,1200,19829,56982.2611940299,0.347985488544943,9
"109","L3_87013","L4_56529",200,1200,19522,56982.2611940299,0.342597846960228,9
"110","L3_41666","L4_35543",200,1200,19428,56982.2611940299,0.340948210774681,9
"111","L3_377097","L4_304742",200,1200,19168,56982.2611940299,0.33638538728274,9
"112","L3_323973","L4_255338",200,1200,18943,56982.2611940299,0.3324367900301,9
"113","L3_65020","L4_52592",200,1200,18693,56982.2611940299,0.328049459749388,9
"114","L3_312925","L4_258238",200,1200,18673,56982.2611940299,0.327698473326931,9
"115","L3_398009","L4_326133",200,1200,18616,56982.2611940299,0.326698162022929,9
"116","L3_116231","L4_91022",200,1200,18373,56982.2611940299,0.322433676990077,9
"117","L3_421704","L4_33153",200,1200,18095,56982.2611940299,0.317554965717925,9
"118","L3_347153","L4_285522",200,1200,17152,56982.2611940299,0.30100595589908,9
"119","L3_440822","L4_359549",200,1200,16904,56982.2611940299,0.296653724260614,9
"120","L3_113723","L4_88836",200,1200,16723,56982.2611940299,0.293477297137378,9
"121","L3_320311","L4_264017",200,1200,16640,56982.2611940299,0.292020703484182,9
"122","L3_62929","L4_50890",200,1200,16636,56982.2611940299,0.291950506199691,9
"123","L3_352967","L4_290337",200,1200,16509,56982.2611940299,0.289721742417089,9
"124","L3_378685","L4_288345",200,1200,16248,56982.2611940299,0.285141369604026,9
"125","L3_385653","L4_316276",200,1200,16138,56982.2611940299,0.283210944280513,9
"126","L3_122913","L4_81579",200,1200,15753,56982.2611940299,0.276454455648216,9
"127","L3_354109","L4_291227",200,1200,15655,56982.2611940299,0.274734622178177,9
"128","L3_296254","L4_245127",200,1200,15452,56982.2611940299,0.271172109990239,9
"129","L3_129714","L4_84482",200,1200,15404,56982.2611940299,0.270329742576343,9
"130","L3_383004","L4_106229",200,1200,15396,56982.2611940299,0.27018934800736,9
"131","L3_140266","L4_109993",200,1200,15364,56982.2611940299,0.269627769731429,9
"132","L3_360127","L4_295991",200,1200,14805,56982.2611940299,0.259817699223757,9
"133","L3_470075","L4_381838",200,1200,14198,56982.2611940299,0.249165261302188,9
"134","L3_81704","L4_64235",200,1200,14015,56982.2611940299,0.245953735536707,9
"135","L3_133735","L4_104675",200,1200,13915,56982.2611940299,0.244198803424423,9
"136","L3_188413","L4_150504",200,1200,13540,56982.2611940299,0.237617808003355,9
"137","L3_47725","L4_39893",200,1200,13246,56982.2611940299,0.232458307593238,9
"138","L3_328938","L4_169410",200,1200,13161,56982.2611940299,0.230966615297796,9
"139","L3_422992","L4_345089",200,1200,13100,56982.2611940299,0.229896106709302,9
"140","L3_324329","L4_267148",200,1200,13067,56982.2611940299,0.229316979112248,9
"141","L3_92382","L4_71836",200,1200,12858,56982.2611940299,0.225649170997573,9
"142","L3_382067","L4_295991",200,1200,12738,56982.2611940299,0.223543252462831,9
"143","L3_104159","L4_33153",200,1200,12639,56982.2611940299,0.221805869671669,9
"144","L3_80512","L4_63369",200,1200,12518,56982.2611940299,0.219682401815805,9
"145","L3_137811","L4_100358",200,1200,12390,56982.2611940299,0.21743608871208,9
"146","L3_339477","L4_279254",200,1200,12339,56982.2611940299,0.216541073334815,9
"147","L3_437163","L4_356356",200,1200,12310,56982.2611940299,0.216032143022252,9
"148","L3_378686","L4_310817",200,1200,12262,56982.2611940299,0.215189775608356,9
"149","L3_316686","L4_261000",200,1200,12195,56982.2611940299,0.214013971093125,9
"150","L3_9993","L4_9048",200,1200,12099,56982.2611940299,0.212329236265332,9
"151","L3_140456","L4_110322",200,1200,11948,56982.2611940299,0.209679288775782,9
"152","L3_370661","L4_304742",200,1200,11924,56982.2611940299,0.209258105068833,9
"153","L3_119251","L4_68909",200,1200,11906,56982.2611940299,0.208942217288622,9
"154","L3_56841","L4_29790",200,1200,11780,56982.2611940299,0.206731002827143,9
"155","L3_57259","L4_32021",200,1200,11676,56982.2611940299,0.204905873430367,9
"156","L3_118308","L4_92768",200,1200,11175,56982.2611940299,0.196113663547821,9
"157","L3_63038","L4_50886",200,1200,11104,56982.2611940299,0.194867661748098,9
"158","L3_119431","L4_93672",200,1200,11100,56982.2611940299,0.194797464463607,9
"159","L3_175426","L4_139580",200,1200,11064,56982.2611940299,0.194165688903184,9
"160","L3_253951","L4_207230",200,1200,11058,56982.2611940299,0.194060392976447,9
"161","L3_406015","L4_332479",200,1200,10878,56982.2611940299,0.190901515174335,9
"162","L3_441215","L4_337188",200,1200,10656,56982.2611940299,0.187005565885063,9
"163","L3_64895","L4_52414",200,1200,10652,56982.2611940299,0.186935368600571,9
"164","L3_148098","L4_106877",200,1200,10636,56982.2611940299,0.186654579462606,9
"165","L3_157013","L4_123835",200,1200,10574,56982.2611940299,0.185566521552989,9
"166","L3_25797","L4_23197",200,1200,10555,56982.2611940299,0.185233084451655,9
"167","L3_13544","L4_12220",200,1200,10171,56982.2611940299,0.178494145140482,9
"168","L3_68275","L4_29790",200,1200,10075,56982.2611940299,0.176809410312688,9
"169","L3_115415","L4_90326",200,1200,10049,56982.2611940299,0.176353127963494,9
"170","L4_32021","L5_28852",200,1400,1698653,66604.3793103448,25.5036232990789,1
"171","L4_29790","L5_27153",200,1400,1644260,66604.3793103448,24.6869652870501,2
"172","L4_68909","L5_56868",200,1400,563911,66604.3793103448,8.46657540898988,3
"173","L4_30236","L5_27383",200,1400,538044,66604.3793103448,8.07820755288432,4
"174","L4_34708","L5_27153",200,1400,486697,66604.3793103448,7.30728226941689,5
"175","L4_56662","L5_47550",200,1400,322788,66604.3793103448,4.84634799306455,6
"176","L4_33153","L5_27153",200,1400,207095,66604.3793103448,3.10933007925853,7
"177","L4_286826","L5_56868",200,1400,198134,66604.3793103448,2.97478937648814,8
"178","L4_56529","L5_47443",200,1400,154133,66604.3793103448,2.31415714095635,9
"179","L4_326744","L5_183010",200,1400,153712,66604.3793103448,2.30783623526878,9
"180","L4_93171","L5_76860",200,1400,116988,66604.3793103448,1.7564610797571,9
"181","L4_290057","L5_245078",200,1400,104481,66604.3793103448,1.56868063454459,9
"182","L4_97056","L5_80050",200,1400,96061,66604.3793103448,1.44226252079313,9
"183","L4_45547","L5_38749",200,1400,90727,66604.3793103448,1.36217769671353,9
"184","L4_285173","L5_240942",200,1400,82380,66604.3793103448,1.23685560698867,9
"185","L4_88786","L5_72989",200,1400,79709,66604.3793103448,1.19675313883782,9
"186","L4_81579","L5_27153",200,1400,75703,66604.3793103448,1.13660694362543,9
"187","L4_84278","L5_68578",200,1400,74728,66604.3793103448,1.12196826655801,9
"188","L4_331854","L5_279465",200,1400,66225,66604.3793103448,0.994303988502361,9
